"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"22","28","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20150331000000","20151001000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"23","37","U15G3104443","FZS_MYTH","Mythenquai Unterführung","20131128000000","20150430000000","Seeufer","Bhf. Wollishofen","0.85","früher","0","0","1","POINT (2682813 1245489.9)"
"24","46","U15G3104446","FZS_ARBO","Arboretum","20150310000000","20150908000000","Stadtgrenze","Innenstadt","1.02","früher","0","0","1","POINT (2682973 1246328.9)"
"25","52","Y0410090357","VZS_FISC","Fischerweg","20100709000000","20200203000000","Innenstadt","Stadtgrenze","1","früher","0","1","1","POINT (2678956 1250442.9)"
"26","62","Y2G14045586","VZS_LIMC","Limmatquai --> Central","20140625000000","20200626000000","Central","","1.33","früher","0","1","0","POINT (2683457 1247064.9)"
"27","1","U15G4025180","FZS_HARD","Hardeggsteg","20151001000000","20160331000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"28","2","U15G3063866","FZS_ALTO","Altstetterstrasse Ost","20151001000000","20200824000000","Bhf. Altstetten","Lindenplatz","1.02","früher","0","0","1","POINT (2679190.2 1249435.9)"
"29","2977","ECO09113507","VZS_HOFW","Hofwiesenstrasse","20190619000000","20230118000000","Bucheggplatz","---","1.28","früher","0","1","0","POINT (2682681.5 1250569.8)"
"30","2999","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20200501000000","20201005000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"31","3000","U15G3063873","FZS_CHOR","Chorherrenweg","20200501000000","20201005000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680001.2 1250595.2)"
"32","3003","Y2H20063173","VZS_BASL","Baslerstrasse","20200716000000","","Bhf. Altstetten","Letzipark","1","aktuell","1","1","0","POINT (2679767.2 1248986.1)"
"33","3020","U15G3063873","FZS_HARD","Hardeggsteg","20210923000000","20220405000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439.2 1249929.5)"
"34","8","ECO09113501","VZS_SCHE","Scheuchzerstrasse","20100923000000","20181220000000","Innenstadt","Irchel","1.05","früher","0","1","0","POINT (2683573 1248544.9)"
"35","64","U15G3104443","FZS_MYTH","Mythenquai Unterführung","20151007000000","20160404000000","Seeufer","Bhf. Wollishofen","0.85","früher","0","0","1","POINT (2682813 1245489.9)"
"36","65","U15G3104445","FZS_ALTW","Altstetterstrasse West","20151016000000","20200214000000","Bhf. Altstetten","Lindenplatz","1.07","früher","0","0","1","POINT (2679174 1249437.9)"
"37","384","YPH15108550","FZS_INGA","In Gassen","20151021000000","20170830000000","Paradeplatz","Rathaus","0.95","früher","0","0","1","POINT (2683267 1247228.9)"
"38","56","Y2G13124875","VZS_SAUM","Saumackerstrasse","20140311000000","20191115000000","Uetliberg","Bahnhof Altstetten","1.27","früher","0","1","0","POINT (2679337 1249345.9)"
"39","55","Y2G12102807","VZS_LANN","Langstrasse (Unterführung Nord)","20130627000000","20170711000000","Helvetiaplatz","Limmatplatz","0.96","früher","0","1","0","POINT (2682278 1248324.9)"
"40","34","U15G3104442","FZS_KATZ","Katzenbach","20150331000000","20151001000000","Affoltern","Seebach","0.18","früher","0","0","1","POINT (2681402 1253279.9)"
